trial_number;samples;date;latent_dim;learning_rate;base_filters;kernel_size;num_layers;stride_size;pooling_type;activation;norm_type;dropout_rate;batch_size;loss_func;k_folds;Pruned;Avg_Train_MSE;Std_Train_MSE;Avg_Train_RMSE;Std_Train_RMSE;Avg_Train_MAE;Std_Train_MAE;Avg_Train_R2;Std_Train_R2;Avg_Val_MSE;Std_Val_MSE;Avg_Val_RMSE;Std_Val_RMSE;Avg_Val_MAE;Std_Val_MAE;Avg_Val_R2;Std_Val_R2
125;10,000;25-02-2026 07:07;512;0.0005;32;9;3;3;average;leaky_relu;batch;0;32;huber;5;False;0.114;0.008;0.337;0.012;0.199;0.005;0.886;0.008;0.167;0.004;0.409;0.005;0.238;0.003;0.832;0.004
149;10,000;25-02-2026 09:09;512;0.0005;32;9;3;3;average;relu;batch;0;32;mse;5;False;0.106;0.013;0.326;0.021;0.202;0.011;0.894;0.013;0.168;0.004;0.41;0.005;0.243;0.003;0.832;0.004
125_k11;10,000;28-02-2026 07:41;512;0.0005;32;11;3;3;average;leaky_relu;batch;0;32;huber;5;False;;;;;;;;;0.168;0.005;0.41;0.006;0.24;0.003;0.831;0.005
138;10,000;25-02-2026 08:12;512;0.0005;32;7;3;3;average;relu;batch;0;32;mse;5;False;0.105;0.012;0.323;0.018;0.2;0.008;0.895;0.012;0.169;0.006;0.411;0.007;0.243;0.004;0.831;0.006
125_k7;10,000;28-02-2026 10:47;512;0.0005;32;7;3;3;average;leaky_relu;batch;0;32;huber;5;False;;;;;;;;;0.171;0.005;0.413;0.006;0.239;0.003;0.829;0.005
108;10,000;25-02-2026 05:46;512;0.0005;32;7;3;3;average;leaky_relu;batch;0;32;huber;5;False;0.119;0.014;0.344;0.02;0.202;0.01;0.881;0.014;0.172;0.005;0.414;0.006;0.24;0.003;0.828;0.005
54_k11;10,000;28-02-2026 10:13;512;0.0005;32;11;3;3;max;leaky_relu;batch;0;128;huber;5;False;;;;;;;;;0.174;0.002;0.417;0.002;0.244;0.001;0.826;0.002
54;10,000;25-02-2026 01:47;512;0.0005;32;9;3;3;max;leaky_relu;batch;0;128;huber;5;False;0.133;0.009;0.364;0.013;0.212;0.007;0.867;0.009;0.174;0.003;0.417;0.003;0.244;0.002;0.826;0.003
128;10,000;25-02-2026 07:24;512;0.0005;32;5;3;3;average;leaky_relu;batch;0;32;huber;5;False;0.119;0.01;0.345;0.015;0.202;0.007;0.881;0.01;0.174;0.005;0.417;0.005;0.24;0.004;0.826;0.005
130;10,000;25-02-2026 07:42;512;0.0005;32;11;3;3;average;leaky_relu;batch;0;32;huber;5;False;0.128;0.009;0.357;0.012;0.209;0.006;0.872;0.009;0.174;0.01;0.417;0.011;0.243;0.007;0.826;0.01
17;10,000;24-02-2026 22:49;1024;0.0005;32;9;3;3;max;leaky_relu;batch;0;128;huber;5;False;0.119;0.006;0.345;0.009;0.202;0.004;0.881;0.006;0.174;0.003;0.418;0.003;0.244;0.002;0.825;0.003
125_f64;10,000;28-02-2026 09:52;512;0.0005;64;9;3;3;average;leaky_relu;batch;0;32;huber;5;False;;;;;;;;;0.175;0.006;0.419;0.007;0.245;0.004;0.824;0.006
125_f16;10,000;28-02-2026 10:04;512;0.0005;16;9;3;3;average;leaky_relu;batch;0;32;huber;5;False;;;;;;;;;0.176;0.006;0.42;0.007;0.242;0.004;0.823;0.006
13;10,000;24-02-2026 22:32;1024;0.0005;32;7;3;3;max;leaky_relu;batch;0;128;huber;5;False;0.126;0.011;0.355;0.016;0.207;0.007;0.874;0.011;0.178;0.002;0.422;0.003;0.246;0.001;0.822;0.002
24;10,000;24-02-2026 23:29;512;0.0005;32;9;3;3;max;leaky_relu;batch;0;128;huber;5;False;0.136;0.009;0.369;0.012;0.214;0.006;0.864;0.009;0.178;0.003;0.422;0.003;0.246;0.002;0.822;0.003
54_k7;10,000;28-02-2026 10:21;512;0.0005;32;7;3;3;max;leaky_relu;batch;0;128;huber;5;False;;;;;;;;;0.179;0.003;0.423;0.003;0.247;0.001;0.821;0.003
54_f64;10,000;28-02-2026 10:33;512;0.0005;64;9;3;3;max;leaky_relu;batch;0;128;huber;5;False;;;;;;;;;0.179;0.004;0.423;0.005;0.248;0.003;0.821;0.005
35;10,000;25-02-2026 00:25;512;0.0005;32;5;3;3;max;leaky_relu;layer;0;16;huber;5;False;0.111;0.016;0.332;0.024;0.196;0.011;0.889;0.016;0.181;0.005;0.425;0.006;0.246;0.003;0.819;0.005
48;10,000;25-02-2026 01:12;256;0.0005;32;13;3;3;average;leaky_relu;layer;0.1;64;mse;5;True;0.119;0.001;0.346;0.001;0.211;0.001;0.88;0.001;0.181;0.003;0.426;0.003;0.249;0.002;0.818;0.003
140;10,000;25-02-2026 08:19;512;0.0005;32;7;3;3;average;relu;layer;0;32;mse;5;True;0.098;0.011;0.313;0.017;0.195;0.008;0.902;0.011;0.181;0.004;0.426;0.004;0.249;0.003;0.818;0.003
10;10,000;24-02-2026 22:19;1024;0.0005;32;7;3;3;max;leaky_relu;batch;0;128;huber;5;False;0.133;0.011;0.364;0.014;0.212;0.007;0.867;0.011;0.181;0.004;0.426;0.005;0.248;0.003;0.818;0.004
27;10,000;24-02-2026 23:39;512;0.0005;128;9;3;3;max;leaky_relu;batch;0;32;huber;5;False;0.093;0.015;0.304;0.024;0.183;0.012;0.907;0.015;0.181;0.009;0.426;0.011;0.251;0.006;0.818;0.009
