split;date;latent_dim;learning_rate;base_filters;kernel_size;num_layers;pool_size;pooling_type;activation;norm_type;dropout_rate;batch_size;loss_func;k_folds;Pruned;Avg_Val_MSE;Avg_Val_RMSE;Std_Val_RMSE;CI_Val_RMSE;Avg_Val_MAE;Avg_Val_R2
511,585 / 127,896;03-03-2026 19:16;512;0.0005;192;9;3;3;average;leaky_relu;batch;0;64;huber;5;False;0.047;0.217;0.003;[0.213, 0.220];0.133;0.953
511,585 / 127,896;03-03-2026 12:33;512;0.0005;128;9;3;3;average;leaky_relu;batch;0;64;huber;5;False;0.048;0.218;0.001;[0.217,0.219];0.134;0.952
511,585 / 127,896;03-03-2026 05:52;512;0.0005;64;9;3;3;average;leaky_relu;batch;0;64;huber;5;False;0.053;0.23;0.001;[0.229, 0.231];0.141;0.947
511,585 / 127,896;05-03-2026 12:48;512;0.0005;32;25;3;3;average;leaky_relu;batch;0;64;huber;5;False;0.056;0.238;0.001;[0.236, 0.239];0.145;0.943
511,585 / 127,896;02-03-2026 19:16;512;0.0005;32;9;3;3;average;leaky_relu;batch;0;16;huber;5;False;0.058;0.242;0.002;[0.240, 0.244];0.147;0.941
511,585 / 127,896;02-03-2026 16:15;512;0.0005;32;9;3;3;max;leaky_relu;batch;0;16;huber;5;False;0.059;0.242;0.002;[0.240, 0.244];0.147;0.941
511,585 / 127,896;02-03-2026 13:53;512;0.0005;32;9;3;3;average;leaky_relu;batch;0;32;huber;5;False;0.059;0.244;0.002;[0.242, 0.246];0.148;0.941
511,585 / 127,896;05-03-2026 07:56;512;0.0005;32;11;3;3;average;leaky_relu;batch;0;64;huber;5;False;0.06;0.246;0.001;[0.244, 0.247];0.15;0.94
511,585 / 127,896;02-03-2026 11:40;512;0.0005;32;9;3;3;max;leaky_relu;batch;0;32;huber;5;False;0.061;0.246;0.001;[0.245, 0.247];0.15;0.939
511,585 / 127,896;02-03-2026 08:15;512;0.0005;32;9;3;3;average;leaky_relu;batch;0;64;huber;5;False;0.062;0.249;0.002;[0.247, 0.251];0.152;0.938
511,585 / 127,896;02-03-2026 06:53;512;0.0005;32;9;3;3;max;leaky_relu;batch;0;64;huber;5;False;0.063;0.251;0.002;[0.249, 0.253];0.153;0.937
511,585 / 127,896;02-03-2026 05:35;512;0.0005;32;9;3;3;average;leaky_relu;batch;0;128;huber;5;False;0.065;0.256;0.002;[0.254, 0.258];0.156;0.935
511,585 / 127,896;02-03-2026 04:17;512;0.0005;32;9;3;3;max;leaky_relu;batch;0;128;huber;5;False;0.065;0.256;0.002;[0.254, 0.258];0.156;0.935
511,585 / 127,896;03-03-2026 09:47;512;0.0005;32;9;4;3;average;leaky_relu;batch;0;64;huber;5;False;0.066;0.257;0.002;[0.255, 0.259];0.148;0.934
511,585 / 127,896;02-03-2026 02:38;512;0.0005;32;9;3;3;average;leaky_relu;batch;0;256;huber;5;False;0.067;0.259;0.003;[0.255, 0.263];0.158;0.933
511,585 / 127,896;02-03-2026 00:57;512;0.0005;32;9;3;3;max;leaky_relu;batch;0;256;huber;5;False;0.068;0.261;0.002;[0.259, 0.263];0.159;0.932
511,585 / 127,896;01-03-2026 23:05;512;0.0005;32;9;3;3;average;leaky_relu;batch;0;512;huber;5;False;0.07;0.264;0.003;[0.260, 0.268];0.16;0.93
511,585 / 127,896;01-03-2026 21:21;512;0.0005;32;9;3;3;max;leaky_relu;batch;0;512;huber;5;False;0.07;0.265;0.003;[0.261, 0.269];0.161;0.93
511,585 / 127,896;01-03-2026 18:48;512;0.0005;32;9;3;3;average;leaky_relu;batch;0;2048;huber;5;False;0.076;0.276;0.003;[0.272, 0.280];0.167;0.924
511,585 / 127,896;01-03-2026 16:20;512;0.0005;32;9;3;3;max;leaky_relu;batch;0;2048;huber;5;False;0.076;0.276;0.004;[0.271, 0.281];0.167;0.924
