split;date;seq_len;latent_dim;learning_rate;base_filters;kernel_size;num_layers;pool_size;pooling_type;activation;norm_type;dropout_rate;masking_ratio;batch_size;loss_func;k_folds;Avg_Val_MSE;Avg_Val_RMSE;CI_Val_RMSE;Avg_Val_MAE;Avg_Val_R2;Avg_XGB_AUC;CI_XGB_AUC;Avg_XGB_PRAUC;CI_XGB_PRAUC;Avg_LR_AUC;CI_LR_AUC;Avg_LR_PRAUC;CI_LR_PRAUC
518,468 / 129,616;11-04-2026 10:18;5000;512;0.0005;64;9;3;3;average;leaky_relu;batch;0.0;0.0;64;huber;5;0.057;0.239;[0.236, 0.242];0.149;0.943;0.782;nan;nan;nan;nan;nan;nan;nan
518,468 / 129,616;11-04-2026 14:13;5000;512;0.0005;64;9;3;3;average;leaky_relu;batch;0.0;0.15;64;huber;5;0.058;0.241;[0.237, 0.246];0.151;0.942;0.772;nan;nan;nan;nan;nan;nan;nan
518,468 / 129,616;11-04-2026 18:31;5000;512;0.0005;64;9;3;3;average;leaky_relu;batch;0.0;0.3;64;huber;5;0.063;0.251;[0.245, 0.258];0.158;0.937;0.774;nan;nan;nan;nan;nan;nan;nan
518,468 / 129,616;12-04-2026 08:41;5000;512;0.0005;64;9;3;3;average;leaky_relu;batch;0.0;0.45;64;huber;5;0.079;0.28;[0.269, 0.292];0.175;0.921;0.771;nan;nan;nan;nan;nan;nan;nan
518,468 / 129,616;12-04-2026 12:43;5000;512;0.0005;64;9;3;3;average;leaky_relu;batch;0.0;0.6;64;huber;5;0.149;0.385;[0.344, 0.426];0.228;0.851;0.777;nan;nan;nan;nan;nan;nan;nan
518,468 / 129,616;12-04-2026 16:51;5000;512;0.0005;64;9;3;3;average;leaky_relu;batch;0.0;0.75;64;huber;5;0.35;0.59;[0.540, 0.640];0.344;0.65;0.779;nan;nan;nan;nan;nan;nan;nan
518,468 / 129,616;12-04-2026 21:15;5000;512;0.0005;64;9;3;3;average;leaky_relu;batch;0.0;0.8;64;huber;5;0.574;0.757;[0.726, 0.788];0.426;0.426;0.76;nan;nan;nan;nan;nan;nan;nan
518,468 / 129,616;12-04-2026 23:11;5000;512;0.0005;64;9;3;3;average;leaky_relu;batch;0.0;0.85;64;huber;5;0.758;0.869;[0.798, 0.940];0.523;0.242;0.754;nan;nan;nan;nan;nan;nan;nan
518,468 / 129,616;13-04-2026 00:39;5000;512;0.0005;64;9;3;3;average;leaky_relu;batch;0.0;0.9;64;huber;5;1.711;1.296;[1.050, 1.542];0.884;-0.711;0.753;nan;nan;nan;nan;nan;nan;nan
518,468 / 129,616;13-04-2026 02:27;5000;512;0.0005;64;9;3;3;average;leaky_relu;batch;0.0;0.95;64;huber;5;7.635;2.572;[1.172, 3.972];1.801;-6.636;0.755;nan;nan;nan;nan;nan;nan;nan
518,468 / 129,616;13-04-2026 09:28;5000;512;0.0005;64;9;3;3;average;leaky_relu;batch;0.3;0;64;huber;5;0.081;0.285;[0.281, 0.288];0.169;0.919;0.772;nan;nan;nan;nan;nan;nan;nan
518,468 / 129,616;13-04-2026 13:03;5000;512;0.0005;64;9;3;3;average;leaky_relu;batch;0.5;0;64;huber;5;0.102;0.32;[0.316, 0.324];0.186;0.898;0.789;nan;nan;nan;nan;nan;nan;nan
518,468 / 129,616;13-04-2026 18:28;5000;512;0.0005;64;9;3;3;average;leaky_relu;batch;0.6;0;64;huber;5;0.119;0.344;[0.342, 0.347];0.199;0.881;0.797;[0.794, 0.801];0.167;[0.163, 0.170];0.821;[0.815, 0.828];0.168;[0.161, 0.175]
518,468 / 129,616;13-04-2026 23:28;5000;512;0.0005;64;9;3;3;average;leaky_relu;batch;0.7;0;64;huber;5;0.149;0.386;[0.382, 0.391];0.222;0.851;0.801;[0.795, 0.808];0.168;[0.163, 0.172];0.817;[0.812, 0.821];0.166;[0.162, 0.171]
518,468 / 129,616;14-04-2026 05:11;5000;512;0.0005;64;9;3;3;average;leaky_relu;batch;0.8;0;64;huber;5;0.207;0.455;[0.454, 0.456];0.261;0.793;0.79;[0.783, 0.797];0.159;[0.154, 0.165];0.808;[0.801, 0.815];0.158;[0.151, 0.164]
518,468 / 129,616;14-04-2026 10:14;5000;1024;0.0005;64;9;3;3;average;leaky_relu;batch;0;0;64;huber;5;0.038;0.194;[0.193, 0.196];0.117;0.962;0.782;[0.768, 0.795];0.145;[0.136, 0.153];0.764;[0.745, 0.782];0.134;[0.125, 0.143]
518,468 / 129,616;14-04-2026 14:11;5000;256;0.0005;64;9;3;3;average;leaky_relu;batch;0;0;64;huber;5;0.084;0.29;[0.287, 0.293];0.181;0.916;0.8;[0.794, 0.806];0.16;[0.154, 0.165];0.72;[0.706, 0.735];0.108;[0.100, 0.115]
518,468 / 129,616;14-04-2026 18:34;5000;128;0.0005;64;9;3;3;average;leaky_relu;batch;0;0;64;huber;5;0.117;0.341;[0.336, 0.347];0.211;0.883;0.869;[0.856, 0.882];0.242;[0.220, 0.265];0.805;[0.761, 0.849];0.15;[0.126, 0.175]
518,468 / 129,616;15-04-2026 16:05;5000;64;0.0005;64;9;3;3;average;leaky_relu;batch;0;0;64;huber;5;0.164;0.405;[0.399, 0.410];0.247;0.836;0.878;[0.875, 0.881];0.271;[0.256, 0.286];0.746;[0.732, 0.761];0.116;[0.108, 0.124]
518,468 / 129,616;15-04-2026 21:33;5000;32;0.0005;64;9;3;3;average;leaky_relu;batch;0;0;64;huber;5;0.239;0.489;[0.479, 0.500];0.288;0.761;0.867;[0.860, 0.874];0.233;[0.221, 0.245];0.605;[0.596, 0.615];0.071;[0.068, 0.073]
518,468 / 129,616;16-04-2026 03:59;5000;16;0.0005;64;9;3;3;average;leaky_relu;batch;0;0;64;huber;5;0.383;0.619;[0.614, 0.624];0.342;0.616;0.849;[0.844, 0.855];0.211;[0.202, 0.219];0.579;[0.567, 0.591];0.068;[0.061, 0.074]
518,468 / 129,616;16-04-2026 09:30;5000;512;0.0005;64;3;3;3;average;leaky_relu;batch;0;0;64;huber;5;0.065;0.255;[0.251, 0.258];0.157;0.935;0.776;[0.771, 0.782];0.142;[0.131, 0.153];0.727;[0.717, 0.737];0.113;[0.104, 0.122]
518,468 / 129,616;16-04-2026 12:39;5000;512;0.0005;64;15;3;3;average;leaky_relu;batch;0;0;64;huber;5;0.054;0.233;[0.229, 0.237];0.145;0.946;0.795;[0.783, 0.807];0.166;[0.157, 0.176];0.738;[0.729, 0.747];0.125;[0.119, 0.132]
518,468 / 129,616;16-04-2026 16:47;5000;512;0.0005;64;25;3;3;average;leaky_relu;batch;0;0;64;huber;5;0.05;0.223;[0.220, 0.227];0.138;0.95;0.865;[0.859, 0.872];0.246;[0.236, 0.257];0.805;[0.783, 0.826];0.153;[0.141, 0.165]
518,468 / 129,616;16-04-2026 21:56;5000;512;0.0005;64;35;3;3;average;leaky_relu;batch;0;0;64;huber;5;0.048;0.22;[0.217, 0.223];0.135;0.952;0.873;[0.869, 0.877];0.258;[0.250, 0.266];0.81;[0.793, 0.827];0.154;[0.147, 0.162]
518,468 / 129,616;17-04-2026 02:50;5000;512;0.0005;64;45;3;3;average;leaky_relu;batch;0;0;64;huber;5;0.049;0.221;[0.218, 0.223];0.135;0.951;0.888;[0.879, 0.896];0.291;[0.278, 0.303];0.87;[0.852, 0.887];0.203;[0.183, 0.223]
518,468 / 129,616;17-04-2026 08:45;5000;512;0.0005;64;55;3;3;average;leaky_relu;batch;0;0;64;huber;5;0.049;0.221;[0.216, 0.226];0.135;0.951;0.896;[0.892, 0.900];0.306;[0.297, 0.315];0.888;[0.879, 0.897];0.225;[0.205, 0.245]
518,468 / 129,616;17-04-2026 19:27;5000;512;0.0005;64;65;3;3;average;leaky_relu;batch;0;0;64;huber;5;0.049;0.221;[0.216, 0.226];0.135;0.951;0.9;[0.895, 0.904];0.318;[0.311, 0.324];0.892;[0.883, 0.902];0.231;[0.209, 0.253]
518,468 / 129,616;18-04-2026 04:24;5000;512;0.0005;64;75;3;3;average;leaky_relu;batch;0;0;64;huber;5;0.05;0.223;[0.219, 0.227];0.136;0.95;0.903;[0.899, 0.907];0.327;[0.309, 0.345];0.893;[0.886, 0.900];0.23;[0.209, 0.251]
518,468 / 129,616;18-04-2026 13:54;5000;512;0.0005;64;85;3;3;average;leaky_relu;batch;0;0;64;huber;5;0.051;0.225;[0.217, 0.234];0.138;0.949;0.907;[0.901, 0.912];0.333;[0.309, 0.357];0.895;[0.890, 0.900];0.233;[0.221, 0.244]
518,468 / 129,616;19-04-2026 11:12;5000;256;0.0005;64;45;3;3;average;leaky_relu;batch;0;0;64;huber;5;0.07;0.264;[0.259, 0.268];0.164;0.93;0.886;[0.880, 0.893];0.277;[0.251, 0.304];0.853;[0.825, 0.880];0.18;[0.142, 0.217]
518,468 / 129,616;19-04-2026 16:02;5000;128;0.0005;64;45;3;3;average;leaky_relu;batch;0;0;64;huber;5;0.095;0.308;[0.305, 0.310];0.191;0.905;0.895;[0.884, 0.905];0.303;[0.275, 0.332];0.879;[0.859, 0.900];0.206;[0.177, 0.235]
518,468 / 129,616;19-04-2026 22:01;5000;64;0.0005;64;45;3;3;average;leaky_relu;batch;0;0;64;huber;5;0.131;0.362;[0.358, 0.366];0.222;0.869;0.894;[0.886, 0.901];0.284;[0.260, 0.307];0.83;[0.789, 0.871];0.165;[0.138, 0.192]
518,468 / 129,616;20-04-2026 06:36;5000;128;0.0005;64;45;3;3;average;leaky_relu;batch;0.25;0;64;huber;5;0.114;0.338;[0.333, 0.343];0.206;0.886;0.871;[0.854, 0.887];0.254;[0.219, 0.290];0.797;[0.738, 0.856];0.157;[0.113, 0.201]
518,468 / 129,616;20-04-2026 11:57;5000;128;0.0005;64;45;3;3;average;leaky_relu;batch;0.5;0;64;huber;5;0.131;0.363;[0.360, 0.365];0.217;0.869;0.861;[0.856, 0.865];0.231;[0.219, 0.242];0.792;[0.781, 0.802];0.154;[0.141, 0.168]
518,468 / 129,616;20-04-2026 17:19;5000;128;0.0005;64;45;3;3;average;leaky_relu;batch;0.75;0;64;huber;5;0.177;0.421;[0.415, 0.428];0.245;0.823;0.836;[0.827, 0.844];0.19;[0.182, 0.198];0.736;[0.724, 0.748];0.105;[0.099, 0.111]
518,468 / 129,616;21-04-2026 05:51;5000;128;0.0005;64;45;3;3;average;leaky_relu;batch;0;0;128;huber;5;0.096;0.31;[0.308, 0.311];0.193;0.904;0.896;[0.891, 0.900];0.31;[0.292, 0.329];0.877;[0.861, 0.894];0.209;[0.183, 0.236]
518,468 / 129,616;21-04-2026 12:09;5000;128;0.0005;64;45;3;3;average;leaky_relu;batch;0;0;256;huber;5;0.1;0.316;[0.314, 0.319];0.197;0.9;0.886;[0.877, 0.894];0.286;[0.265, 0.306];0.837;[0.802, 0.873];0.166;[0.138, 0.194]
518,468 / 129,616;21-04-2026 18:59;5000;128;0.0005;64;45;3;3;average;leaky_relu;batch;0;0;512;huber;5;0.106;0.325;[0.316, 0.335];0.201;0.894;0.881;[0.871, 0.891];0.269;[0.245, 0.293];0.814;[0.759, 0.870];0.155;[0.115, 0.195]
518,468 / 129,616;22-04-2026 05:29;5000;128;0.0005;64;45;3;5;average;leaky_relu;batch;0;0;128;huber;5;0.101;0.317;[0.310, 0.324];0.195;0.899;0.907;[0.902, 0.912];0.326;[0.301, 0.350];0.894;[0.885, 0.903];0.228;[0.207, 0.249]
518,468 / 129,616;22-04-2026 09:13;5000;128;0.0005;64;45;3;7;average;leaky_relu;batch;0;0;128;huber;5;0.147;0.384;[0.379, 0.389];0.219;0.853;0.909;[0.905, 0.912];0.341;[0.332, 0.350];0.906;[0.897, 0.915];0.27;[0.242, 0.298]
518,468 / 129,616;22-04-2026 13:04;5000;128;0.0005;64;45;3;10;average;leaky_relu;batch;0;0;128;huber;5;0.144;0.379;[0.368, 0.390];0.23;0.856;0.913;[0.910, 0.917];0.352;[0.341, 0.363];0.919;[0.916, 0.921];0.313;[0.295, 0.331]
518,468 / 129,616;22-04-2026 17:28;5000;128;0.0005;64;45;3;15;average;leaky_relu;batch;0;0;128;huber;5;0.457;0.676;[0.669, 0.683];0.355;0.543;0.919;[0.917, 0.922];0.373;[0.358, 0.387];0.929;[0.923, 0.936];0.367;[0.326, 0.408]
518,468 / 129,616;22-04-2026 20:28;5000;128;0.0005;64;45;2;10;average;leaky_relu;batch;0;0;128;huber;5;0.137;0.371;[0.361, 0.381];0.227;0.862;0.893;[0.881, 0.905];0.31;[0.281, 0.338];0.848;[0.782, 0.913];0.189;[0.144, 0.234]
518,468 / 129,616;22-04-2026 23:40;5000;128;0.0005;64;45;2;15;average;leaky_relu;batch;0;0;128;huber;5;0.192;0.438;[0.434, 0.442];0.255;0.808;0.912;[0.910, 0.915];0.334;[0.326, 0.342];0.891;[0.887, 0.895];0.229;[0.222, 0.235]
518,468 / 129,616;23-04-2026 03:15;5000;128;0.0005;64;45;2;20;average;leaky_relu;batch;0;0;128;huber;5;0.253;0.503;[0.492, 0.513];0.295;0.747;0.897;[0.885, 0.908];0.301;[0.272, 0.330];0.838;[0.810, 0.866];0.173;[0.147, 0.198]
518,468 / 129,616;23-04-2026 07:12;5000;128;0.0005;64;45;2;25;average;leaky_relu;batch;0;0;128;huber;5;0.262;0.512;[0.496, 0.528];0.305;0.738;0.904;[0.899, 0.908];0.328;[0.307, 0.348];0.887;[0.877, 0.898];0.235;[0.214, 0.256]
518,468 / 129,616;23-04-2026 09:47;5000;128;0.0005;64;45;2;50;average;leaky_relu;batch;0;0;128;huber;5;0.612;0.782;[0.761, 0.803];0.438;0.388;0.852;[0.845, 0.859];0.222;[0.212, 0.232];0.757;[0.739, 0.775];0.12;[0.111, 0.129]
518,468 / 129,616;23-04-2026 12:37;5000;128;0.0005;64;45;2;70;average;leaky_relu;batch;0;0;128;huber;5;0.904;0.951;[0.935, 0.967];0.521;0.096;0.843;[0.830, 0.856];0.207;[0.188, 0.227];0.766;[0.753, 0.778];0.127;[0.117, 0.137]
518,468 / 129,616;23-04-2026 20:43;5000;128;0.0005;32;45;3;15;average;leaky_relu;batch;0;0;128;huber;5;0.511;0.715;[0.703, 0.726];0.383;0.489;0.923;[0.921, 0.925];0.385;[0.378, 0.393];0.904;[0.881, 0.927];0.295;[0.242, 0.348]
